generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
18,78,0.7993,0.0414,0.6061,18,-6.146960125657286,-7.9998118638096045,0.10570347630463725
16,99,0.6375,0.0182,0.5708,18,-6.131210602792196,-7.827052062724687,0.1916829198649819
18,99,0.6375,0.048,0.597,20,-6.060359040363322,-7.910890743306783,0.10106340588692483
18,99,0.6793,0.048,0.597,18,-6.026200937730365,-7.910721908753671,0.16904194204661327
16,78,0.7993,0.048,0.5708,18,-6.019974104205458,-7.791423327439186,0.34289844646745743
16,99,0.6375,0.0416,0.597,15,-6.014974827776344,-7.814464277070259,0.3989788985878306
16,99,0.6793,0.048,0.6457,18,-5.976928011285011,-7.7619796553361295,0.37010328810223636
18,78,0.7377,0.0414,0.6061,18,-5.855577621150096,-7.796111953127335,0.2810686639544783
10,95,0.6375,0.048,0.5708,15,-5.815599637631883,-7.175799890549852,0.7204005058359374
16,99,0.7993,0.0416,0.5708,20,-6.382141297219093,-8.015056395328525,0.06583019621886325
16,99,0.6793,0.048,0.5708,18,-6.364049755603485,-8.019456268605998,0.11081302600502395
16,95,0.6375,0.048,0.5708,15,-6.330488085496453,-7.990862411825972,0.1207486526590383
16,99,0.7377,0.0182,0.5708,18,-6.223101146630274,-7.920119138402268,0.1940359835439865
16,95,0.7993,0.048,0.5708,15,-6.208494302586061,-7.870800879657654,0.12461315414318616
16,95,0.6793,0.048,0.597,15,-6.181940712259516,-7.878568410648781,0.19325539677852832
16,95,0.7993,0.048,0.597,15,-6.176997468929372,-7.906619295590509,0.2592436533222727
16,99,0.7993,0.0416,0.5708,18,-6.115858690040907,-7.869638833941782,0.3075602878017489
16,99,0.6375,0.0416,0.5708,20,-6.08175947864428,-7.818230163767648,0.2729413702467351
16,95,0.7377,0.0182,0.597,18,-6.048526931779817,-7.84259466200267,0.38813546044570485
18,78,0.7993,0.0414,0.6061,18,-6.0454976440240955,-7.906113491554819,0.1212316950614459
16,95,0.6375,0.048,0.597,15,-6.022707443649875,-7.748538757127292,0.2516626269548369
16,95,0.7377,0.0182,0.5708,18,-6.008455529665808,-7.77457547937091,0.33223989941020204
16,99,0.7377,0.048,0.5708,18,-5.984365857798348,-7.716843654779244,0.26495559396179036
16,99,0.7993,0.048,0.5708,15,-5.88910256828863,-7.633822020880532,0.2894389051838052
16,95,0.7993,0.0416,0.5708,15,-6.391216599787825,-8.029430873019148,0.07642854646264714
16,95,0.6793,0.048,0.597,15,-6.369353664556845,-8.022503268306846,0.10629920749999888
16,99,0.7993,0.0416,0.5708,15,-6.366745915657711,-8.011875971297977,0.0902601112805317
16,99,0.7993,0.048,0.5708,18,-6.310856996690019,-7.943806902859912,0.06589981233978481
16,95,0.7993,0.048,0.5708,15,-6.278262986533205,-7.92584710555015,0.09516823803389028
16,99,0.6793,0.048,0.5708,18,-6.245342002380646,-7.93875591167775,0.18682781859420627
16,95,0.7993,0.048,0.597,15,-6.241846804450244,-7.905374693459759,0.12705577801902945
16,99,0.6375,0.0416,0.5708,15,-6.213237398408955,-7.890203500355403,0.15393220389289627
16,99,0.6427,0.048,0.5708,18,-6.200541625708919,-7.922671288384176,0.2442593253505167
16,95,0.7993,0.048,0.5708,18,-6.058301283625909,-7.831313780750843,0.3460249942498694
16,95,0.7993,0.048,0.5708,15,-6.046098857446157,-7.83305694909926,0.37391618330620435
16,99,0.7993,0.0416,0.5708,20,-6.0260574674514835,-7.766433036678133,0.28075113845329847
16,99,0.7377,0.0182,0.5708,18,-6.0112237809712905,-7.8219665052283975,0.42148544851421293
16,95,0.6375,0.048,0.5708,15,-5.996194277574089,-7.749014388314445,0.30564022148071074
16,99,0.6793,0.0416,0.5708,18,-5.7112526043296725,-7.595424615267564,0.568344021875784
16,95,0.7993,0.048,0.5708,15,-6.379398250404535,-8.022143321883723,0.08549014295837785
16,95,0.7993,0.048,0.597,15,-6.3418601660989555,-7.989349196706925,0.09497806121594056
16,99,0.7993,0.0416,0.5708,15,-6.336779110488509,-7.979952746610026,0.0863472722430336
16,95,0.7993,0.048,0.5708,15,-6.330006324804868,-7.99109074647169,0.12216884333364157
16,99,0.7993,0.0416,0.5708,18,-6.296411372520737,-7.985649310442564,0.17847587584365493
16,95,0.6793,0.048,0.597,15,-6.220506918372026,-7.930377914920244,0.2197419930964341
16,99,0.7993,0.048,0.5708,18,-6.1885315631776585,-7.875980579771208,0.17489803318709896
16,99,0.6793,0.048,0.5708,18,-6.141632278386982,-7.89099535838813,0.29872616000229496
16,95,0.7993,0.048,0.597,15,-6.115159528809928,-7.803500840140038,0.17668262266021922
16,95,0.7993,0.0416,0.5708,15,-6.052467188096571,-7.787279146288423,0.2696239163837022
16,95,0.6793,0.048,0.597,15,-6.01749924643612,-7.76871107326134,0.3024236536504374
16,95,0.6455,0.0416,0.597,15,-5.999042629632964,-7.741083852036183,0.2840824448064379
16,99,0.6793,0.0416,0.597,15,-5.944636591968225,-7.759177248978075,0.42908131401969946
16,70,0.7993,0.048,0.5708,15,-5.899312392681935,-7.723522324875556,0.44841986438724113
41,99,0.7993,0.048,0.5708,15,-3.9627120886598997,-8.07232284148858,0.019221505657358702
16,99,0.7993,0.0416,0.5708,18,-6.375925837709056,-8.02523916654973,0.09862665768134629
16,99,0.7993,0.0416,0.5708,15,-6.351965330856441,-7.970707147792038,0.03748363387119359
16,95,0.7993,0.048,0.597,15,-6.34484437178836,-7.999890159194522,0.11009157481232489
16,95,0.7993,0.048,0.5708,15,-6.331899347717828,-7.974237797133375,0.08467689883109367
16,99,0.7993,0.048,0.5708,15,-6.313563181519674,-7.964307666623466,0.10148897020758346
16,99,0.7993,0.0416,0.5708,15,-6.311997067660313,-7.983141805348835,0.14228947537704376
