generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
19,58,0.6383,0.0303,0.6339,15,5.645047562523193,3.5057672056412588,0.47856071376386927
16,91,0.7335,0.0488,0.5885,32,5.822817822010073,3.3266152621160896,1.7924051197879662
16,85,0.7476,0.0463,0.6787,32,5.968965900824687,3.373350044946196,1.9912317117569827
16,90,0.7476,0.0488,0.5655,11,3.0899295315572566,1.3626168860178598,0.25462529107879334
16,75,0.7335,0.0488,0.5655,32,3.2487185265068446,1.481876842016862,0.33368336897996437
16,90,0.7476,0.0488,0.5885,32,3.4839479959515796,1.3716800701526104,1.0245358515979384
16,90,0.7476,0.0463,0.5885,11,3.6447552660173947,1.8390134248525385,0.41148368232971233
16,90,0.7335,0.0102,0.5885,11,3.6561827171590497,1.9791646420776843,0.15403615016273053
16,90,0.7476,0.0488,0.5885,32,3.6647331019864757,1.8233527695496907,0.4827606648735699
16,90,0.7476,0.0463,0.5885,11,3.911677523095354,2.274531821549298,0.07429140309211246
16,90,0.7476,0.0463,0.6787,32,4.162628278208137,2.473877586940045,0.1775013825361853
28,91,0.7335,0.0488,0.7482,11,4.217028814219022,1.1109911776137373,0.6120752732105681
28,90,0.7476,0.0463,0.6787,11,4.429904543492176,1.1105324946943458,1.0387440975956614
16,90,0.7335,0.0463,0.5655,11,4.55266090261708,2.230026897669916,1.4452680098943287
19,58,0.6383,0.0303,0.6339,32,4.851285388942027,2.348758476984725,1.2050538239146025
28,91,0.7476,0.0488,0.7482,11,4.908880618567983,1.7149856385612097,0.7877899600135468
28,91,0.7335,0.0488,0.7482,11,5.169129747559401,1.999508555503347,0.7392423841121076
28,90,0.7476,0.0463,0.6787,11,5.683189536384798,2.0101166981042824,1.7461456765610306
16,90,0.7476,0.0488,0.5885,11,3.1731800578397076,1.4940527283431138,0.15825465899318716
16,75,0.7335,0.0488,0.5655,11,3.2337627070056243,1.1728040085372318,0.9219173969367854
16,90,0.7335,0.0102,0.5885,14,3.5649276724369403,1.5148403368920402,0.9001746710898
16,90,0.7476,0.0488,0.5655,11,3.711405532290929,1.7537546596592566,0.7153017452633447
16,90,0.7476,0.0463,0.5885,11,3.7857085175496055,1.7750293521578016,0.821358330783608
16,90,0.7335,0.0476,0.5655,11,4.220309126190811,2.25942463155584,0.7217689892699415
16,90,0.7476,0.0463,0.5885,11,4.50484721803835,2.6278272581996305,0.5540399196774388
16,90,0.7476,0.0488,0.5885,32,4.57982836222616,2.0322043785367607,1.895247967378799
16,90,0.7476,0.0463,0.5885,32,4.604757278205682,2.082076148223545,1.8453622599642736
16,75,0.7335,0.0488,0.5655,32,4.648844163638989,2.6842796619028513,0.7291290034722754
16,75,0.7335,0.0488,0.5655,32,4.674240705937958,2.4352608905121933,1.2779596308515293
16,90,0.7476,0.0488,0.5655,11,5.132345998694855,2.434826196940532,2.1950396035086452
16,90,0.7476,0.0488,0.5885,32,5.194460662531512,2.79317266089952,1.6025760032639826
16,90,0.7335,0.0102,0.5885,11,5.458011202065002,2.7403178937019548,2.2353866167260943
16,75,0.7335,0.0488,0.5885,32,5.62521844675404,3.394029744230815,1.2623774050464496
16,90,0.7335,0.0488,0.5885,11,3.4842685176990082,1.2998185155580313,1.168900004281954
16,90,0.7476,0.0488,0.5655,11,3.696582314322305,1.748300957936176,0.6965627127722579
16,90,0.7476,0.0488,0.5655,11,4.19310807718287,2.1853184265672994,0.8155793012311409
16,90,0.7335,0.0476,0.5655,11,4.248248185778138,1.9582071692411003,1.380082033074076
16,90,0.7476,0.0102,0.6675,11,4.354075290788005,2.2202742167588254,1.067602148058358
16,90,0.7335,0.0102,0.5885,14,4.3936653653273945,2.2832317210974344,1.0208672884599197
16,90,0.7243,0.0463,0.5885,11,4.481235238895365,2.3184080168341565,1.1256544441224159
16,90,0.7476,0.0463,0.5885,11,4.607118379278186,2.6395073578942836,0.7352220427678025
16,90,0.7335,0.0102,0.5885,14,4.666330446194347,2.1847795493950457,1.7631017935986018
16,90,0.7476,0.0488,0.5885,11,4.817274706163266,2.4651816876517834,1.5041860370229647
16,90,0.7476,0.0488,0.6444,11,5.054752518714038,2.922280569655283,1.0649438981175086
16,90,0.7476,0.0463,0.5885,11,5.559374939841565,2.981138607781555,1.9564726641200179
16,75,0.7335,0.0488,0.5655,11,5.648172477592457,3.18651425083009,1.7233164535247343
16,90,0.7476,0.0102,0.5885,14,5.838303702584049,3.685737524184411,1.1051323567992772
16,53,0.7476,0.0463,0.5885,11,6.225189780875208,4.104060735180968,1.042258091388482
16,90,0.7335,0.0488,0.5885,11,2.9086120597407996,1.2617587923087565,0.09370653486408555
16,90,0.7335,0.0102,0.5885,14,3.2871099329586313,1.4577919824454877,0.45863590102628654
16,90,0.7335,0.0488,0.5655,11,3.2876148950086357,1.2960193086194731,0.7831911727783248
16,90,0.7476,0.0488,0.5655,11,3.369809361089531,0.9926658832959774,1.5542869555871077
16,90,0.7335,0.0488,0.5885,11,3.5056668354909197,1.4012174385163039,1.0088987939492313
16,90,0.7243,0.0463,0.5885,11,3.565627665953763,1.7318369532804887,0.46758142534654845
16,90,0.7476,0.0488,0.5655,11,3.935261532176822,2.099362368747567,0.4717983268585101
16,77,0.7335,0.0102,0.5655,11,4.256194523014939,2.426871906744566,0.45864523254074685
16,90,0.7476,0.0476,0.5655,11,4.834922796337677,3.0168171216408077,0.43621134939373807
16,90,0.7335,0.0488,0.5655,11,5.13941653252866,2.7152065212002796,1.6484200226567605
16,90,0.7476,0.0488,0.5655,11,5.479715688669351,3.114189477626964,1.531052422084775
16,90,0.7335,0.0476,0.5655,11,5.6318966307500595,2.835657798688883,2.392477664122354
16,90,0.7476,0.0102,0.6675,11,5.6871210635121034,2.774203681914713,2.625834763194779
16,90,0.7476,0.0102,0.6675,11,5.936479610314759,3.441307882644441,1.790343455340636
49,90,0.7335,0.0488,0.5885,11,6.865363330312109,1.7708605845415615,0.38900549154109393
16,90,0.7476,0.0488,0.5655,11,2.6749753236316995,0.8104846921797287,0.5289812629039413
16,90,0.7335,0.0488,0.5885,11,2.793587990075676,0.9246241769295528,0.5379276262922469
16,90,0.7335,0.0488,0.5655,11,3.589072206303465,1.6128857278475028,0.7523729569119234
16,90,0.7335,0.0488,0.5655,11,3.677646368932655,1.9679751380718276,0.21934246172165434
16,90,0.7335,0.0102,0.5885,14,3.7695761417945874,1.8049445174700682,0.729263248649038
16,90,0.7335,0.0488,0.5655,14,3.922451478101788,1.6773749325539988,1.2901530910955783
16,90,0.7335,0.0488,0.5655,17,4.221456638639405,2.2026844414377984,0.8375443944032136
16,90,0.7476,0.0488,0.5655,11,4.238156351771991,2.069283935108172,1.1377448333276365
16,90,0.7335,0.0488,0.5655,11,4.285294205437098,2.2349425287828972,0.9007033533084012
16,90,0.7335,0.0488,0.5885,11,4.6361738032553905,2.2010878334606745,1.6701719395894323
16,90,0.7335,0.0488,0.5885,11,4.673553281288605,2.49436874280169,1.1583690769738288
16,90,0.7476,0.0102,0.5885,14,4.8926568561196415,2.541791699947202,1.501730312344878
16,90,0.7243,0.0463,0.5885,11,4.989572670054601,2.0031096893644023,2.7729259613803983
16,90,0.7335,0.0488,0.5885,11,5.333412867211495,3.055875917784894,1.3550738988532003
16,90,0.7476,0.0488,0.5885,11,5.67106938699259,3.9002305786330713,0.3416776167190382
16,90,0.7335,0.0488,0.5655,11,3.1763486038179503,1.4055401706878676,0.3416168662601648
16,90,0.7335,0.0488,0.5655,17,3.25492734905349,1.1829400094135494,0.9439746792798812
16,90,0.7335,0.0488,0.5885,14,3.319903269862703,1.3938867339067091,0.6520330719119868
16,90,0.7335,0.0488,0.5655,11,3.4535122126320568,1.6424250320425564,0.4221743611790003
