generations,population,crossover,mutation,elitism,bits,maximize,avg_fitness,std_dev,avg_generations
10,10,0.6,0.01,0.55,10,False,-1.9850616669694938,1.2781317349011532,10
10,10,0.6,0.01,0.55,20,False,-3.8642752525612423,1.5634804908890139,10
10,10,0.6,0.01,0.55,35,False,-2.730114901315918,0.8584435171451276,10
10,10,0.6,0.01,0.65,10,False,-3.2731578366034975,1.3289378053826872,10
10,10,0.6,0.01,0.65,20,False,-2.0852824984810416,1.5625381302324013,10
10,10,0.6,0.01,0.65,35,False,-4.320650870905088,1.6207046328034593,10
10,10,0.6,0.01,0.75,10,False,-3.4103102454956318,2.855042502637046,10
10,10,0.6,0.01,0.75,20,False,-2.9869348172657517,1.9138488665046984,10
10,10,0.6,0.01,0.75,35,False,-2.8179396702671577,1.6483028691952737,10
10,10,0.6,0.03,0.55,10,False,-3.536515659476135,1.7902429048681665,10
10,10,0.6,0.03,0.55,20,False,-2.719567251018402,2.020546896299206,10
10,10,0.6,0.03,0.55,35,False,-2.944612834985145,0.38990998544570565,10
10,10,0.6,0.03,0.65,10,False,-3.800476299296225,1.495304873445052,10
10,10,0.6,0.03,0.65,20,False,-3.339914033449306,1.5286024912612715,10
10,10,0.6,0.03,0.65,35,False,-4.498089748865226,1.4783332827328262,10
10,10,0.6,0.03,0.75,10,False,-3.7043467377783705,2.3263870244284597,10
10,10,0.6,0.03,0.75,20,False,-3.3728336575327353,2.067676436843965,10
10,10,0.6,0.03,0.75,35,False,-3.5520179384066597,1.934266433852156,10
10,10,0.6,0.05,0.55,10,False,-4.227247044509971,1.0394373520758753,10
10,10,0.6,0.05,0.55,20,False,-4.55294328803339,1.8857590970910414,10
10,10,0.6,0.05,0.55,35,False,-4.553418435913752,2.2789031376069286,10
10,10,0.6,0.05,0.65,10,False,-3.967699946777568,1.3094843306125814,10
10,10,0.6,0.05,0.65,20,False,-3.614226641510691,2.241159127899828,10
10,10,0.6,0.05,0.65,35,False,-3.4520128863252104,2.680044015204977,10
10,10,0.6,0.05,0.75,10,False,-2.244667647162013,1.7612470734040506,10
10,10,0.6,0.05,0.75,20,False,-3.275686747700943,1.4189206549291498,10
10,10,0.6,0.05,0.75,35,False,-2.905834435967521,1.3928655844409026,10
10,10,0.7,0.01,0.55,10,False,-2.0693990711426156,1.2456457871298632,10
10,10,0.7,0.01,0.55,20,False,-2.121702310682553,1.7483725899043596,10
10,10,0.7,0.01,0.55,35,False,-3.8602615985006445,1.938151767810813,10
10,10,0.7,0.01,0.65,10,False,-3.2981381989541694,1.4240265110283068,10
10,10,0.7,0.01,0.65,20,False,-3.33550423383123,2.180458434575025,10
10,10,0.7,0.01,0.65,35,False,-4.204247324927571,1.7389581978718114,10
10,10,0.7,0.01,0.75,10,False,-3.392123359526652,0.8025671402055082,10
10,10,0.7,0.01,0.75,20,False,-3.8420338351669368,1.6042013928028782,10
10,10,0.7,0.01,0.75,35,False,-2.066461860103596,1.9604346193775382,10
10,10,0.7,0.03,0.55,10,False,-3.8089009173767305,1.505626481727789,10
10,10,0.7,0.03,0.55,20,False,-3.5321969257137065,1.1333848444325578,10
10,10,0.7,0.03,0.55,35,False,-4.426586723350499,0.8656231371187721,10
10,10,0.7,0.03,0.65,10,False,-2.9897884688270224,1.8713922802743994,10
10,10,0.7,0.03,0.65,20,False,-3.223701455687529,1.6936200156311387,10
10,10,0.7,0.03,0.65,35,False,-3.922230020907463,1.815145758418499,10
10,10,0.7,0.03,0.75,10,False,-3.7446076219649846,1.799202806210487,10
10,10,0.7,0.03,0.75,20,False,-2.378936897183819,1.5108255375542354,10
10,10,0.7,0.03,0.75,35,False,-3.7970005440125787,1.4230319517698276,10
10,10,0.7,0.05,0.55,10,False,-2.693957885301494,1.4604437997266413,10
10,10,0.7,0.05,0.55,20,False,-4.333148372438385,1.0187573570812218,10
10,10,0.7,0.05,0.55,35,False,-3.4893480521742943,2.035258120486656,10
10,10,0.7,0.05,0.65,10,False,-5.416921824624839,1.0651855398500296,10
10,10,0.7,0.05,0.65,20,False,-3.414319538441837,2.4583261214960017,10
10,10,0.7,0.05,0.65,35,False,-2.923981713917587,2.0132186262429794,10
10,10,0.7,0.05,0.75,10,False,-4.6057058416486525,1.7221904968990922,10
10,10,0.7,0.05,0.75,20,False,-2.636866451957666,1.5853691115761637,10
10,10,0.7,0.05,0.75,35,False,-3.3483264659930043,1.398304044610891,10
10,10,0.8,0.01,0.55,10,False,-4.270444158525217,1.3159997914122208,10
10,10,0.8,0.01,0.55,20,False,-2.763412188604293,2.0860198733387434,10
10,10,0.8,0.01,0.55,35,False,-3.463813719868618,2.3859979814267627,10
10,10,0.8,0.01,0.65,10,False,-4.098902535028782,2.4360837539997218,10
10,10,0.8,0.01,0.65,20,False,-5.205999486935695,1.1895051670015928,10
10,10,0.8,0.01,0.65,35,False,-3.9988240097638483,2.356051599667034,10
10,10,0.8,0.01,0.75,10,False,-3.5222989133105607,2.204890548906014,10
10,10,0.8,0.01,0.75,20,False,-2.65143258740221,1.5161501580034016,10
10,10,0.8,0.01,0.75,35,False,-2.3845456801456595,1.4181841307493903,10
10,10,0.8,0.03,0.55,10,False,-2.4710402187049962,0.8416306132299902,10
10,10,0.8,0.03,0.55,20,False,-3.9718130609111646,2.300931716942094,10
10,10,0.8,0.03,0.55,35,False,-4.282043850289616,1.8422565286324242,10
10,10,0.8,0.03,0.65,10,False,-4.009545516731463,0.7470148306002257,10
10,10,0.8,0.03,0.65,20,False,-4.907327430793235,1.4998807592545569,10
10,10,0.8,0.03,0.65,35,False,-4.6768105617512346,1.5172391447944422,10
10,10,0.8,0.03,0.75,10,False,-2.6551637451542356,1.4535342863060292,10
10,10,0.8,0.03,0.75,20,False,-1.8305499901616007,0.8266773016944882,10
10,10,0.8,0.03,0.75,35,False,-3.9427810434715926,3.0469952290527336,10
10,10,0.8,0.05,0.55,10,False,-3.8379081950923366,1.109659653110867,10
10,10,0.8,0.05,0.55,20,False,-4.306173378700886,1.2989631838772955,10
10,10,0.8,0.05,0.55,35,False,-5.462734060641476,0.14654541371232827,10
10,10,0.8,0.05,0.65,10,False,-2.5544647718550157,0.7132070740317827,10
10,10,0.8,0.05,0.65,20,False,-4.300018900402641,1.8338503802334383,10
