generations,population,crossover,mutation,elitism,bits,maximize,avg_fitness,std_dev,avg_generations
10,10,0.7,0.01,0.65,10,False,10.874317866359677,4.889376746180022,10
10,10,0.7,0.01,0.65,20,False,12.18410509025697,3.538879085901448,10
10,10,0.7,0.01,0.65,35,False,13.092637401747051,6.169470049556463,10
10,10,0.7,0.01,0.75,10,False,12.438024195045847,5.669764030612434,10
10,10,0.7,0.01,0.75,20,False,12.258014486757682,3.692345142245054,10
10,10,0.7,0.01,0.75,35,False,8.614162929696427,2.660176288704194,10
10,10,0.7,0.03,0.55,10,False,10.535197097962923,4.076795675333977,10
10,10,0.7,0.03,0.55,20,False,12.406737280454358,2.1188770704236863,10
10,10,0.7,0.03,0.55,35,False,11.838595613656947,3.097196556716203,10
10,10,0.7,0.03,0.65,10,False,14.708485813326723,3.7756062760543667,10
10,10,0.7,0.03,0.65,20,False,10.252792354918236,3.483200292094366,10
10,10,0.7,0.03,0.65,35,False,16.53491967963418,1.8189967590269749,10
10,10,0.7,0.03,0.75,10,False,12.848098394687655,5.03660011335294,10
10,10,0.7,0.03,0.75,20,False,15.404105347540971,2.4928502914253188,10
10,10,0.7,0.03,0.75,35,False,14.758915958854903,3.250176196863236,10
10,10,0.7,0.05,0.55,10,False,9.578541839468171,3.011707712166744,10
10,10,0.7,0.05,0.55,20,False,12.111242912777836,3.888674898703074,10
10,10,0.7,0.05,0.55,35,False,10.963402567953478,4.2295487526543445,10
10,10,0.7,0.05,0.65,10,False,9.466337329003593,5.654278409474179,10
10,10,0.7,0.05,0.65,20,False,10.108513805689357,5.534323815600903,10
10,10,0.7,0.05,0.65,35,False,11.706530632127608,3.754304151046975,10
10,10,0.7,0.05,0.75,10,False,11.111798177193599,6.392581869709183,10
10,10,0.7,0.05,0.75,20,False,14.36103218580054,5.592969067444205,10
10,10,0.7,0.05,0.75,35,False,12.62317373508929,5.112804875449959,10
10,10,0.8,0.01,0.55,10,False,10.896754391812559,3.668530267570916,10
10,10,0.8,0.01,0.55,20,False,12.053070878400987,4.964332944315402,10
10,10,0.8,0.01,0.55,35,False,13.26127143841586,5.543351466121275,10
10,10,0.8,0.01,0.65,10,False,12.896163921468727,5.340324364232461,10
10,10,0.8,0.01,0.65,20,False,10.565862596587003,2.7726531356032504,10
10,10,0.8,0.01,0.65,35,False,11.516786664737108,4.878367515952104,10
10,10,0.8,0.01,0.75,10,False,13.270672608698803,4.2958071857271785,10
10,10,0.8,0.01,0.75,20,False,13.945003600679701,4.899644893149927,10
10,10,0.8,0.01,0.75,35,False,15.853871548923296,1.735461346955334,10
10,10,0.8,0.03,0.55,10,False,12.803902796020205,3.445921586085388,10
10,10,0.8,0.03,0.55,20,False,12.620522361567057,3.2370228244391153,10
10,10,0.8,0.03,0.55,35,False,13.791625000118199,4.248334805228617,10
10,10,0.8,0.03,0.65,10,False,12.5202094576155,5.080472569971551,10
10,10,0.8,0.03,0.65,20,False,11.70261757176979,3.742893866211762,10
10,10,0.8,0.03,0.65,35,False,14.655987745723632,2.7180445633310755,10
10,10,0.8,0.03,0.75,10,False,8.50247832245092,5.119223418483955,10
