generations,population,crossover,mutation,elitism,bits,maximize,avg_fitness,std_dev,avg_generations
10,10,0.8,0.03,0.55,20,True,-70.4029423362288,3.967115472406849,10
10,10,0.8,0.03,0.55,35,True,-61.83111379196593,11.115495226501519,10
10,10,0.8,0.03,0.65,10,True,-61.740527805910084,7.250640472395802,10
10,10,0.8,0.03,0.65,20,True,-65.01391053529015,7.300656061856635,10
10,10,0.8,0.03,0.65,35,True,-62.927757466998585,3.8612654013951344,10
10,10,0.8,0.03,0.75,10,True,-71.27015189833422,7.017627987803787,10
10,10,0.8,0.03,0.75,20,True,-62.99749047648438,9.915136365297174,10
10,10,0.8,0.03,0.75,35,True,-58.49906181826888,9.185379916656869,10
10,10,0.8,0.05,0.55,10,True,-71.17441199410806,5.926759333119822,10
10,10,0.8,0.05,0.55,20,True,-66.53914753742147,7.9757837696976805,10
10,10,0.8,0.05,0.55,35,True,-61.58404846268416,8.59489823622367,10
10,10,0.8,0.05,0.65,10,True,-62.9864592631793,8.031098023666123,10
10,10,0.8,0.05,0.65,20,True,-64.72413863597816,6.155713690615919,10
10,10,0.8,0.05,0.65,35,True,-65.44787002988839,2.2168390284016306,10
10,10,0.8,0.05,0.75,10,True,-71.40978098674702,5.6660459051802725,10
10,10,0.8,0.05,0.75,20,True,-63.153505496594015,15.489612354873,10
10,10,0.8,0.05,0.75,35,True,-67.43256557544589,5.729627479090022,10
10,50,0.6,0.01,0.55,10,True,-73.7289035138843,3.1189023723146607,10
10,50,0.6,0.01,0.55,20,True,-72.48933964749241,6.6475983581871665,10
10,50,0.6,0.01,0.55,35,True,-71.49082840307271,5.3022087862983875,10
10,50,0.6,0.01,0.65,10,True,-72.89268129934239,5.700926736001638,10
10,50,0.6,0.01,0.65,20,True,-73.01591883116494,3.3969113291362345,10
10,50,0.6,0.01,0.65,35,True,-73.8491821419641,2.4526939479464485,10
10,50,0.6,0.01,0.75,10,True,-70.86584204014757,6.63880368758341,10
10,50,0.6,0.01,0.75,20,True,-70.71246412422558,6.284803357260256,10
10,50,0.6,0.01,0.75,35,True,-76.58698655524438,3.6410670937949003,10
10,50,0.6,0.03,0.55,10,True,-74.20623296116794,5.3474101748571305,10
10,50,0.6,0.03,0.55,20,True,-71.3772271447095,5.84111920728189,10
10,50,0.6,0.03,0.55,35,True,-73.3680711786265,5.8170206809389295,10
10,50,0.6,0.03,0.65,10,True,-72.59454265811199,3.8898159524201086,10
10,50,0.6,0.03,0.65,20,True,-72.01554654023218,4.721294314102821,10
10,50,0.6,0.03,0.65,35,True,-73.00637388094962,4.166849332728026,10
10,50,0.6,0.03,0.75,10,True,-71.22142107626243,5.242075745359148,10
10,50,0.6,0.03,0.75,20,True,-69.56659404339405,2.2533865186675404,10
10,50,0.6,0.03,0.75,35,True,-74.94547444504654,4.881751210409666,10
10,50,0.6,0.05,0.55,10,True,-72.3965456533067,6.740600863197019,10
10,50,0.6,0.05,0.55,20,True,-74.54068523386294,2.2490680763677866,10
10,50,0.6,0.05,0.55,35,True,-72.25166708536082,4.446862843794927,10
10,50,0.6,0.05,0.65,10,True,-74.44632836376122,4.269118097637242,10
10,50,0.6,0.05,0.65,20,True,-75.57821981477656,2.5940792929790892,10
10,50,0.6,0.05,0.65,35,True,-74.55087479738471,3.1974997577089943,10
10,50,0.6,0.05,0.75,10,True,-72.34890976503699,4.520765023577844,10
10,50,0.6,0.05,0.75,20,True,-72.03091030058371,7.2357630755856635,10
10,50,0.6,0.05,0.75,35,True,-70.57311793616701,5.624789607601804,10
