generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
15,61,0.7804,0.0153,0.6996,32,-20.65772913408482,-22.186081037034544,0.05670380589944557
37,49,0.6137,0.0466,0.5924,34,-18.50323203939963,-22.227467949809654,0.0484718208200457
10,97,0.6812,0.0231,0.6012,33,-21.246568450663137,-22.257489852370174,0.021842803414071982
10,97,0.6812,0.0231,0.6012,16,-21.23310752221496,-22.25294448677212,0.0396739291143166
10,97,0.6812,0.0466,0.6558,34,-21.22557987850095,-22.236293232172137,0.021426707342371912
10,97,0.6812,0.0466,0.6012,34,-21.21407546798098,-22.243441904763188,0.0587328735644157
10,56,0.6812,0.0231,0.5988,16,-21.211061539226495,-22.228637859597143,0.03515264074129192
10,97,0.6812,0.0466,0.6558,34,-21.209554026061102,-22.231279289397563,0.04345052667291864
10,57,0.6812,0.0466,0.5988,16,-21.207779109954803,-22.219452464648718,0.023346709387828613
10,97,0.7394,0.0231,0.6012,16,-21.207320925409096,-22.225795266431103,0.03694868204401414
10,97,0.6812,0.0231,0.5988,16,-21.207132757048875,-22.22780882345377,0.04135213280979055
10,49,0.6137,0.0466,0.6558,34,-21.191932442833014,-22.218418350325205,0.05297181498438385
10,56,0.7137,0.0304,0.5924,16,-21.18934404299783,-22.203453230838523,0.028218375681384918
10,56,0.6812,0.0231,0.5988,16,-21.162825089656764,-22.20478271612462,0.08391525293571045
10,56,0.6812,0.0231,0.6012,16,-21.15574293380205,-22.197540560316916,0.08359525302973467
10,56,0.6812,0.0231,0.5988,16,-21.120548125028733,-22.166269083463188,0.09144191686891086
13,56,0.6812,0.0231,0.5988,16,-20.86566487836501,-22.191539422395344,0.05174908806066855
10,97,0.6812,0.0466,0.6012,34,-21.22584697077433,-22.24365585688229,0.03561777221592199
10,97,0.6833,0.0466,0.6012,16,-21.218920201628155,-22.23570662684926,0.03357285044221155
10,97,0.6812,0.0231,0.6012,16,-21.218766072939225,-22.2266998753174,0.015867604756353324
10,97,0.6812,0.0466,0.6558,34,-21.215628919782827,-22.247594791181474,0.06393174279729603
10,97,0.6812,0.0466,0.6012,34,-21.214642948198193,-22.234527848479654,0.03976980056292427
10,97,0.6812,0.0231,0.6012,16,-21.2130448006056,-22.230857741568798,0.035625881926390414
10,97,0.6812,0.0231,0.6012,33,-21.206472957868332,-22.226148078247558,0.039350240758453454
10,97,0.6812,0.0466,0.6558,34,-21.203531826011833,-22.233444803234566,0.05982595444546152
10,57,0.6812,0.0466,0.5988,16,-21.195145291583348,-22.219587354234548,0.048884125302397635
10,97,0.6812,0.0231,0.6012,16,-21.191450302403574,-22.211897649059186,0.04089469331122541
10,97,0.6812,0.0224,0.6012,34,-21.18426211982625,-22.21574594082199,0.06296764199147606
10,56,0.6812,0.0466,0.6558,16,-21.17139252075954,-22.205051940318196,0.06731883911731361
10,56,0.6812,0.0231,0.5988,16,-21.165912867363705,-22.188141859375445,0.04445798402347896
10,56,0.6812,0.0231,0.6558,16,-21.081216817697914,-22.143299923447014,0.12416621149820031
29,97,0.6812,0.0231,0.6012,33,-19.342442880305107,-22.259952287298244,0.035018813986267674
10,97,0.6833,0.0466,0.6012,16,-21.256267194175955,-22.267723903942677,0.02291341953344461
10,97,0.6812,0.0231,0.6012,16,-21.237900109168745,-22.256976839670337,0.038153461003180185
10,97,0.6812,0.0466,0.6012,16,-21.230373322517504,-22.253950886256288,0.04715512747756471
10,97,0.6812,0.0231,0.6012,16,-21.229236149871625,-22.240976078446646,0.023479857150044303
10,97,0.6812,0.0466,0.6558,34,-21.227768742407207,-22.24671386625336,0.037890247692305666
10,97,0.6812,0.0231,0.6012,16,-21.218245522928942,-22.23160087090586,0.02671069595384044
10,97,0.6812,0.0466,0.6012,34,-21.2150792778012,-22.229783025992703,0.029407496383009473
10,97,0.6812,0.0466,0.6012,16,-21.214644508804415,-22.23293836009813,0.03658770258743261
10,97,0.6812,0.0466,0.6012,16,-21.210475804665943,-22.230681600725543,0.0404115921191999
10,97,0.6812,0.0231,0.6012,16,-21.20606255516433,-22.232652579056925,0.05318004778519012
