generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
28,71,0.6756,0.027,0.6409,31,-74.25819293031438,-77.86851589197636,1.6206459233239758
28,71,0.6756,0.0269,0.6409,35,-74.07853245728474,-78.05466658940911,2.35226826424874
28,71,0.7711,0.0353,0.6501,31,-77.5201833036294,-80.41599162986721,0.19161665247562118
28,87,0.7329,0.0353,0.6501,34,-77.44889667209011,-80.38336249133536,0.2689316384905037
28,71,0.7711,0.0353,0.6501,31,-77.12371135841346,-80.18406136920876,0.520700021590602
28,71,0.7711,0.0353,0.6501,34,-76.84659722220694,-79.97918109990215,0.6651677553904238
28,71,0.7711,0.0353,0.6501,10,-76.63646622081609,-79.71161099610855,0.55028955058493
28,87,0.7711,0.027,0.6501,34,-76.63459964011122,-79.7965316905913,0.7238641009601564
28,87,0.7711,0.0353,0.6501,34,-76.48601315827807,-79.61196259431756,0.6518988720789828
28,71,0.6756,0.0353,0.6409,34,-76.41360171755178,-79.75182680915847,1.0764501832133853
28,71,0.7711,0.027,0.6501,34,-74.76386542362881,-78.30079406213652,1.4738572770154221
28,71,0.6756,0.0353,0.6409,31,-74.6685776689388,-78.43662442698779,1.9360935160980022
28,71,0.7711,0.027,0.6501,34,-73.79014380967992,-78.1549450661772,3.1296025129945675
28,71,0.6756,0.027,0.6501,32,-73.25296038225157,-78.22099903021203,4.336077295920911
28,71,0.7711,0.027,0.6501,31,-72.74455881627284,-77.2599634747595,3.4308093169733196
28,71,0.6756,0.0269,0.6501,34,-72.71011839567551,-77.4235788974029,3.8269210034547885
28,71,0.7711,0.027,0.6501,34,-70.6005433489351,-75.54631902836843,4.291551358866666
28,87,0.7711,0.027,0.6501,34,-77.51595591748931,-80.42949303796689,0.22707424095516357
28,71,0.7711,0.0353,0.6501,34,-77.36732933570924,-80.33561033377286,0.3365619961272414
28,87,0.7329,0.0353,0.6501,34,-77.34670624024295,-80.32714090031448,0.3608693201430397
28,71,0.7711,0.0353,0.6501,31,-77.17801763140264,-80.16504969251854,0.37406412223180413
28,71,0.7711,0.0353,0.6501,34,-76.97086694401189,-80.0117618925198,0.4817898970158418
28,87,0.7329,0.0353,0.6501,34,-76.89672501370366,-79.97920738706144,0.5649647467155496
28,87,0.7711,0.0353,0.6501,34,-76.44723110483883,-79.69534138582233,0.8962205619670065
28,87,0.7329,0.0353,0.6501,31,-76.28571783024337,-79.5452518572034,0.91906805392006
