generations,population,crossover,mutation,elitism,bits,maximize,avg_fitness,std_dev,avg_generations
10,100,0.6,0.03,0.55,20,True,-7.488340338075389,0.3732154797579539,10
10,100,0.6,0.03,0.55,35,True,-7.569998645398877,0.19347637797362047,10
10,100,0.6,0.03,0.65,10,True,-7.735351989648959,0.3542878998810195,10
10,100,0.6,0.03,0.65,20,True,-7.7669835748172575,0.3724550861694385,10
10,100,0.6,0.03,0.65,35,True,-7.5788334831072195,0.5124731711074109,10
10,100,0.6,0.03,0.75,10,True,-7.005149600591263,0.6129789708720768,10
10,100,0.6,0.03,0.75,20,True,-7.179960612735965,0.30798951412229997,10
10,100,0.6,0.03,0.75,35,True,-7.710176481482243,0.49048953357812575,10
10,100,0.6,0.05,0.55,10,True,-7.924960867118146,0.12694998953472297,10
10,100,0.6,0.05,0.55,20,True,-7.642413555306687,0.4140780257395063,10
10,100,0.6,0.05,0.55,35,True,-7.8339549178712495,0.32192599285225276,10
10,100,0.6,0.05,0.65,10,True,-7.732328992872276,0.4434868545796178,10
10,100,0.6,0.05,0.65,20,True,-7.599587303516305,0.3153835040327501,10
10,100,0.6,0.05,0.65,35,True,-7.816118080739117,0.3151421756424351,10
10,100,0.6,0.05,0.75,10,True,-7.273384887432505,0.5568124352905297,10
10,100,0.6,0.05,0.75,20,True,-7.561741170818401,0.5252481777653681,10
10,100,0.6,0.05,0.75,35,True,-7.546199077341977,0.3529028427177918,10
10,100,0.7,0.01,0.55,10,True,-7.913157318875985,0.14578930033195364,10
10,100,0.7,0.01,0.55,20,True,-7.2426473051905065,0.48035096296416463,10
10,100,0.7,0.01,0.55,35,True,-7.762074683342252,0.24195648322926444,10
10,100,0.7,0.01,0.65,10,True,-7.837759773138595,0.2860206408476441,10
10,100,0.7,0.01,0.65,20,True,-6.884972938270231,0.9885896000953329,10
10,100,0.7,0.01,0.65,35,True,-7.716535277098852,0.2296724071791175,10
10,100,0.7,0.01,0.75,10,True,-7.379228411332888,0.6426311613102629,10
10,100,0.7,0.01,0.75,20,True,-7.368931864993877,1.074094891306335,10
10,100,0.7,0.01,0.75,35,True,-7.702695276045165,0.2149915488392705,10
10,100,0.7,0.03,0.55,10,True,-7.630071515303054,0.25638855570194224,10
10,100,0.7,0.03,0.55,20,True,-7.816417977290881,0.16364927735486454,10
10,100,0.7,0.03,0.55,35,True,-7.49179144539163,0.4863348595260207,10
10,100,0.7,0.03,0.65,10,True,-7.537697932046695,0.5541214177462571,10
